sigle,groupe,annee,source,bilan,emploi,ressources,fonds_propres,effectif,agences,pnb,resultat_net,charges_exploit,rbe,cout_risque,interets_produits,interets_charges,roa,coeff_exploit,taux_transfo,solvabilite,liquidite,score_global,classement
BAS,Groupes Continentaux,2015,BASE_SENEGAL2,297374.0,166775.0,162739.0,10437.0,206.0,19.0,,,,,,,,,,102.48,3.51,54.73,33.3,11.0
BCIM,Groupes Règionaux,2015,BASE_SENEGAL2,5869.0,515.0,3551.0,1891.0,25.0,1.0,,,,,,,,,,14.5,32.22,60.5,29.9,16.0
BDK,Groupes Règionaux,2015,BASE_SENEGAL2,51483.0,865.0,24257.0,13085.0,27.0,1.0,,,,,,,,,,3.57,25.42,47.12,31.6,13.0
BGFI,Groupes Règionaux,2015,BASE_SENEGAL2,13894.0,3278.0,457.0,9098.0,37.0,1.0,,,,,,,,,,,65.48,3.29,16.8,23.0
BHS,Groupes Locaux,2015,BASE_SENEGAL2,278322.0,218840.0,215423.0,30821.0,21.0,13.0,,,,,,,,,,101.59,11.07,77.4,23.2,21.0
BICIS,Groupes Internationaux,2015,BASE_SENEGAL2,430615.0,224354.0,343456.0,30941.0,440.0,32.0,,,,,,,,,,65.32,7.19,79.76,47.7,4.0
BIS,Groupes Règionaux,2015,BASE_SENEGAL2,214264.0,155706.0,168435.0,27059.0,132.0,23.0,,,,,,,,,,92.44,12.63,78.61,38.8,6.0
BNDE,Groupes Locaux,2015,BASE_SENEGAL2,76436.0,38226.0,30244.0,11398.0,133.0,7.0,,,,,,,,,,126.39,14.91,39.57,31.9,12.0
BOA,Groupes Continentaux,2015,BASE_SENEGAL2,361878.0,193153.0,206125.0,26280.0,234.0,33.0,,,,,,,,,,93.71,7.26,56.96,45.0,5.0
BRM,Groupes Règionaux,2015,BASE_SENEGAL2,293900.0,132957.0,98221.0,26425.0,64.0,1.0,,,,,,,,,,135.37,8.99,33.42,19.7,22.0
CBAO,Groupes Continentaux,2015,BASE_SENEGAL2,811726.0,494074.0,626330.0,81176.0,1028.0,87.0,,,,,,,,,,78.88,10.0,77.16,75.4,1.0
CDS,Groupes Règionaux,2015,BASE_SENEGAL2,171978.0,90286.0,124374.0,15788.0,126.0,8.0,,,,,,,,,,72.59,9.18,72.32,33.6,10.0
CISA,Groupes Internationaux,2015,BASE_SENEGAL2,51395.0,2091.0,33630.0,8894.0,29.0,2.0,,,,,,,,,,6.22,17.31,65.43,28.0,18.0
CITIBANK,Groupes Continentaux,2015,BASE_SENEGAL2,87696.0,21784.0,57126.0,19847.0,32.0,1.0,,,,,,,,,,38.13,22.63,65.14,35.4,8.0
ECOBANK,Groupes Continentaux,2015,BASE_SENEGAL2,648371.0,316186.0,497791.0,29819.0,342.0,39.0,,,,,,,,,,63.52,4.6,76.78,53.3,3.0
FBNBANK,Groupes Continentaux,2015,BASE_SENEGAL2,32204.0,7529.0,14727.0,10210.0,68.0,3.0,,,,,,,,,,51.12,31.7,45.73,30.5,14.0
LBA,Groupes Locaux,2015,BASE_SENEGAL2,242576.0,207509.0,165785.0,18227.0,303.0,33.0,,,,,,,,,,125.17,7.51,68.34,33.7,9.0
